km,date,day,month,year,group,area
238.1,14/4/2015,14,4,2015,nema,south
259,14/5/2015,14,5,2015,nema,south
143,22/5/2015,22,5,2015,nema,south
148,2/6/15,2,6,2015,nema,south
220,17/6/2015,17,6,2015,nema,south
140,24/7/2015,24,7,2015,nema,south
227,28/7/2015,28,7,2015,nema,south
142,7/8/15,7,8,2015,nema,south
100,13/8/2015,13,8,2015,nema,south
100,8/9/15,8,9,2015,nema,south
221,29/9/2015,29,9,2015,nema,south
140,6/10/15,6,10,2015,nema,south
236,13/10/2015,13,10,2015,nema,south
129,24/11/2015,24,11,2015,nema,south
226,26/11/2015,26,11,2015,nema,south
227,8/12/15,8,12,2015,nema,south
111,28/12/2015,28,12,2015,nema,south
223,19/1/2016,19,1,2016,nema,south
140,21/1/2016,21,1,2016,nema,south
141,17/2/2016,17,2,2016,nema,south
233,18/2/2016,18,2,2016,nema,south
140,17/3/2016,17,3,2016,nema,south
232.7,30/3/2016,30,3,2016,nema,south
46,22/4/2016,22,4,2016,nema,south
208.8,30/4/2016,30,4,2016,nema,south
225,14/5/2016,14,5,2016,nema,south
139.2,25/5/2016,25,5,2016,nema,south
135.2,14/6/2016,14,6,2016,nema,south
212,18/6/2016,18,6,2016,nema,south
100,8/7/16,8,7,2016,nema,south
221.8,21/7/2016,21,7,2016,nema,south
221,11/8/16,11,8,2016,nema,south
135,18/8/2016,18,8,2016,nema,south
134.5,22/9/2016,22,9,2016,nema,south
213.1,27/9/2016,27,9,2016,nema,south
227,25/10/2016,25,10,2016,nema,south
133.6,31/10/2016,31,10,2016,nema,south
223,19/11/2016,19,11,2016,nema,south
100.2,25/11/2016,25,11,2016,nema,south
222.1,1/12/16,1,12,2016,nema,south
135,22/12/2016,22,12,2016,nema,south
202,28/12/2016,28,12,2016,nema,south
227,20/1/2017,20,1,2017,nema,south
59,23/1/2017,23,1,2017,nema,south
134,30/1/2017,30,1,2017,nema,south
227,21/2/2017,21,2,2017,nema,south
136,27/2/2017,27,2,2017,nema,south
135,17/3/2017,17,3,2017,nema,south
