spp,date,day,month,year,ccl,obs,area,geraci
Caretta caretta,20/11/1998,20,11,1998,74,,south,
Caretta caretta,20/11/1998,20,11,1998,83,,south,
Chelonia mydas,20/11/1998,20,11,1998,56,,south,
Chelonia mydas,26/11/1998,26,11,1998,39,,south,
Caretta caretta,6/12/98,6,12,1998,,,south,
Caretta caretta,6/12/98,6,12,1998,80,,south,
Caretta caretta,6/12/98,6,12,1998,60,,south,
Caretta caretta,6/12/98,6,12,1998,80,,south,
Caretta caretta,23/3/1999,23,3,1999,,,south,
Caretta caretta,23/3/1999,23,3,1999,,,south,
Chelonia mydas,20/8/1999,20,8,1999,44,,south,
Chelonia mydas,20/8/1999,20,8,1999,41,,south,
Chelonia mydas,20/8/1999,20,8,1999,46,,south,
Chelonia mydas,27/9/1999,27,9,1999,41,,south,
Chelonia mydas,27/9/1999,27,9,1999,46,,south,
Chelonia mydas,27/9/1999,27,9,1999,42,,south,
Chelonia mydas,10/10/99,10,10,1999,43,em mau estado,south,
Chelonia mydas,10/10/99,10,10,1999,42,,south,
Chelonia mydas,10/10/99,10,10,1999,43,,south,
Chelonia mydas,10/10/99,10,10,1999,33,,south,
Chelonia mydas,10/10/99,10,10,1999,39,,south,
Chelonia mydas,10/10/99,10,10,1999,42,,south,
Caretta caretta,28/10/1999,28,10,1999,73,,south,
Chelonia mydas,28/10/1999,28,10,1999,41,,south,
Chelonia mydas,28/10/1999,28,10,1999,37,,south,
Caretta caretta,28/10/1999,28,10,1999,39,,south,
Chelonia mydas,28/10/1999,28,10,1999,43,,south,
Chelonia mydas,28/10/1999,28,10,1999,37,,south,
Chelonia mydas,28/10/1999,28,10,1999,40,,south,
Chelonia mydas,6/11/99,6,11,1999,32,,south,
Chelonia mydas,6/11/99,6,11,1999,42,,south,
Chelonia mydas,6/11/99,6,11,1999,41,,south,
Chelonia mydas,6/11/99,6,11,1999,37.5,,south,
Chelonia mydas,6/11/99,6,11,1999,43,,south,
Chelonia mydas,6/11/99,6,11,1999,41,,south,
Chelonia mydas,6/11/99,6,11,1999,39,,south,
Caretta caretta,30/11/1999,30,11,1999,70,,south,
Chelonia mydas,30/11/1999,30,11,1999,42,,south,
Chelonia mydas,30/11/1999,30,11,1999,41,,south,
Chelonia mydas,30/11/1999,30,11,1999,41,,south,
Caretta caretta,30/11/1999,30,11,1999,93,,south,
Caretta caretta,30/11/1999,30,11,1999,76,,south,
Caretta caretta,3/12/99,3,12,1999,78,,south,
Chelonia mydas,7/12/99,7,12,1999,39,,south,
Chelonia mydas,7/12/99,7,12,1999,42,,south,
Chelonia mydas,7/12/99,7,12,1999,35,,south,
Caretta caretta,8/12/99,8,12,1999,93,,south,
Caretta caretta,8/12/99,8,12,1999,95,,south,
Chelonia mydas,8/12/99,8,12,1999,38,,south,
Caretta caretta,18/1/2000,18,1,2000,104,,south,
Caretta caretta,18/1/2000,18,1,2000,60,,south,
Chelonia mydas,18/1/2000,18,1,2000,43,,south,
Caretta caretta,18/1/2000,18,1,2000,76,,south,
Chelonia mydas,18/1/2000,18,1,2000,39,,south,
Chelonia mydas,18/1/2000,18,1,2000,38,,south,
Caretta caretta,18/1/2000,18,1,2000,74,,south,
Chelonia mydas,18/1/2000,18,1,2000,42,,south,
Chelonia mydas,18/1/2000,18,1,2000,41,,south,
Chelonia mydas,19/1/2000,19,1,2000,38,,south,
Chelonia mydas,19/1/2000,19,1,2000,35,,south,
Chelonia mydas,19/1/2000,19,1,2000,55,,south,
Caretta caretta,19/1/2000,19,1,2000,66,,south,
Chelonia mydas,19/1/2000,19,1,2000,37,,south,
Caretta caretta,14/2/2000,14,2,2000,83,,south,
Caretta caretta,14/2/2000,14,2,2000,58,,south,
Chelonia mydas,25/2/2000,25,2,2000,44,,south,
Caretta caretta,25/2/2000,25,2,2000,69,,south,
Caretta caretta,25/2/2000,25,2,2000,72,,south,
Caretta caretta,25/2/2000,25,2,2000,85,,south,
Chelonia mydas,25/2/2000,25,2,2000,49,,south,
Chelonia mydas,25/2/2000,25,2,2000,38,,south,
Caretta caretta,25/2/2000,25,2,2000,85,,south,
Caretta caretta,16/3/2000,16,3,2000,76,,south,
Caretta caretta,16/3/2000,16,3,2000,106,,south,
Caretta caretta,24/3/2000,24,3,2000,108,,south,
Caretta caretta,19/4/2000,19,4,2000,77,tamanho estimado,south,
Caretta caretta,19/4/2000,19,4,2000,67,,south,
Caretta caretta,19/4/2000,19,4,2000,79,tamanho estimado,south,
Chelonia mydas,19/4/2000,19,4,2000,35,presença de rede,south,
Caretta caretta,24/4/2000,24,4,2000,81,,south,
Caretta caretta,24/4/2000,24,4,2000,68,sem casco,south,
Caretta caretta,24/4/2000,24,4,2000,62,nadadeira cortada,south,
Caretta caretta,12/5/00,12,5,2000,73,,south,
Caretta caretta,21/10/2000,21,10,2000,62,,south,
Caretta caretta,21/10/2000,21,10,2000,35,,south,
Caretta caretta,21/10/2000,21,10,2000,62,,south,
Caretta caretta,4/4/01,4,4,2001,75,,south,
Caretta caretta,4/4/01,4,4,2001,94,,south,
Caretta caretta,4/4/01,4,4,2001,,,south,
Caretta caretta,4/4/01,4,4,2001,,,south,
Caretta caretta,4/4/01,4,4,2001,,,south,
Caretta caretta,4/4/01,4,4,2001,54,,south,
Caretta caretta,4/4/01,4,4,2001,76,,south,
Caretta caretta,4/4/01,4,4,2001,70,,south,
Caretta caretta,25/4/2001,25,4,2001,70,,south,
Caretta caretta,25/4/2001,25,4,2001,82,,south,
Chelonia mydas,7/5/01,7,5,2001,49,,south,
Caretta caretta,28/5/2001,28,5,2001,81,,south,
Caretta caretta,28/5/2001,28,5,2001,64,,south,
Caretta caretta,28/5/2001,28,5,2001,99,,south,
Caretta caretta,28/5/2001,28,5,2001,58,,south,
Caretta caretta,28/5/2001,28,5,2001,68,,south,
Chelonia mydas,11/6/01,11,6,2001,38,A tartaruga foi levada para o Museu Oceanogr‡fico e depois de alguns dias veio a falecer,south,
Caretta caretta,30/8/2001,30,8,2001,73,,south,
Chelonia mydas,24/9/2001,24,9,2001,40,perto de rejeito de pesca,south,
Chelonia mydas,24/9/2001,24,9,2001,72,,south,
Chelonia mydas,24/9/2001,24,9,2001,38,perto de rede,south,
Chelonia mydas,24/9/2001,24,9,2001,34,perto de rejeito de pesca,south,
Caretta caretta,24/9/2001,24,9,2001,81,,south,
Chelonia mydas,24/9/2001,24,9,2001,36,,south,
Chelonia mydas,24/9/2001,24,9,2001,42,,south,
Caretta caretta,24/10/2001,24,10,2001,73,,south,
Caretta caretta,24/10/2001,24,10,2001,80,,south,
Caretta caretta,24/10/2001,24,10,2001,,,south,
Chelonia mydas,24/10/2001,24,10,2001,73,,south,
Chelonia mydas,24/10/2001,24,10,2001,42,,south,
Caretta caretta,24/10/2001,24,10,2001,110,,south,
Chelonia mydas,24/10/2001,24,10,2001,56,,south,
Caretta caretta,24/10/2001,24,10,2001,,,south,
Chelonia mydas,24/10/2001,24,10,2001,36,,south,
Caretta caretta,24/10/2001,24,10,2001,78,,south,
Caretta caretta,27/10/2001,27,10,2001,60,,south,
Caretta caretta,27/10/2001,27,10,2001,76,,south,
Caretta caretta,27/10/2001,27,10,2001,90,,south,
Caretta caretta,27/10/2001,27,10,2001,,,south,
Chelonia mydas,27/10/2001,27,10,2001,35,,south,
Caretta caretta,14/11/2001,14,11,2001,71,,south,
Caretta caretta,14/11/2001,14,11,2001,103,,south,
Caretta caretta,14/11/2001,14,11,2001,75,,south,
Chelonia mydas,14/11/2001,14,11,2001,35,,south,
Chelonia mydas,14/11/2001,14,11,2001,68,,south,
Chelonia mydas,14/11/2001,14,11,2001,36,,south,
Chelonia mydas,27/11/2001,27,11,2001,36,,south,
Chelonia mydas,27/11/2001,27,11,2001,35,,south,
Chelonia mydas,27/11/2001,27,11,2001,36,,south,
Chelonia mydas,27/11/2001,27,11,2001,38,,south,
Caretta caretta,27/11/2001,27,11,2001,59,,south,
Caretta caretta,27/11/2001,27,11,2001,76,,south,
Chelonia mydas,27/11/2001,27,11,2001,40,,south,
Chelonia mydas,27/11/2001,27,11,2001,36,,south,
Chelonia mydas,27/11/2001,27,11,2001,38,,south,
Caretta caretta,27/11/2001,27,11,2001,60,com anzol de espinhel no bico. sem o empate para tubar‹o - Foto,south,
Caretta caretta,13/12/2001,13,12,2001,66,,south,
Caretta caretta,13/12/2001,13,12,2001,78,,south,
Chelonia mydas,13/12/2001,13,12,2001,36,,south,
Caretta caretta,13/12/2001,13,12,2001,70,,south,
Chelonia mydas,13/12/2001,13,12,2001,35,"corda amarrada na nadadeira anterior e na corda estava presa uma taquara. havia marcas de deslocamento na areia, desde as dunas, reintroduzida ao mar",south,
Caretta caretta,13/12/2001,13,12,2001,,,south,
Caretta caretta,13/12/2001,13,12,2001,65,,south,
Chelonia mydas,13/12/2001,13,12,2001,40,,south,
Caretta caretta,13/12/2001,13,12,2001,65,,south,
Caretta caretta,13/12/2001,13,12,2001,44,,south,
Caretta caretta,13/12/2001,13,12,2001,110,com corda amarrada na nadadeira - Fotos,south,
Caretta caretta,13/12/2001,13,12,2001,80,,south,
Caretta caretta,13/12/2001,13,12,2001,90,,south,
Caretta caretta,13/12/2001,13,12,2001,80,,south,
Caretta caretta,13/12/2001,13,12,2001,80,,south,
Caretta caretta,13/12/2001,13,12,2001,75,,south,
Caretta caretta,13/12/2001,13,12,2001,81,,south,
Chelonia mydas,13/12/2001,13,12,2001,40,,south,
Chelonia mydas,13/12/2001,13,12,2001,40,,south,
Chelonia mydas,13/12/2001,13,12,2001,40,reintroduzida ao mar,south,
Caretta caretta,13/12/2001,13,12,2001,64,,south,
Caretta caretta,13/12/2001,13,12,2001,68,,south,
Caretta caretta,13/12/2001,13,12,2001,69,,south,
Caretta caretta,13/12/2001,13,12,2001,77,,south,
Caretta caretta,13/12/2001,13,12,2001,65,,south,
Caretta caretta,13/12/2001,13,12,2001,82,,south,
Chelonia mydas,30/12/2001,30,12,2001,44,,south,
Chelonia mydas,30/12/2001,30,12,2001,80,,south,
Chelonia mydas,30/12/2001,30,12,2001,44,,south,
Caretta caretta,30/12/2001,30,12,2001,86,,south,
Caretta caretta,30/12/2001,30,12,2001,76,,south,
Caretta caretta,30/12/2001,30,12,2001,70,,south,
Caretta caretta,30/12/2001,30,12,2001,64,,south,
Caretta caretta,11/1/02,11,1,2002,,a tartaruga estava virada,south,
Chelonia mydas,11/1/02,11,1,2002,35,,south,
Caretta caretta,11/1/02,11,1,2002,80,,south,
Chelonia mydas,11/1/02,11,1,2002,38,,south,
Chelonia mydas,11/1/02,11,1,2002,39,,south,
Caretta caretta,25/1/2002,25,1,2002,63,,south,
Caretta caretta,25/1/2002,25,1,2002,91,,south,
Caretta caretta,25/1/2002,25,1,2002,105,,south,
Caretta caretta,25/1/2002,25,1,2002,72,,south,
Chelonia mydas,25/1/2002,25,1,2002,94,,south,
Caretta caretta,25/1/2002,25,1,2002,62,,south,
Chelonia mydas,25/1/2002,25,1,2002,46,,south,
Caretta caretta,25/1/2002,25,1,2002,69,,south,
Caretta caretta,25/1/2002,25,1,2002,64,,south,
Chelonia mydas,23/2/2002,23,2,2002,,,south,
Caretta caretta,23/2/2002,23,2,2002,,,south,
Caretta caretta,23/2/2002,23,2,2002,,,south,
Caretta caretta,23/2/2002,23,2,2002,95,tamanho estimado,south,
Caretta caretta,23/2/2002,23,2,2002,90,tamanho estimado,south,
Caretta caretta,23/2/2002,23,2,2002,,virada,south,
Caretta caretta,23/2/2002,23,2,2002,105,,south,
Caretta caretta,23/2/2002,23,2,2002,68,fotos,south,
Caretta caretta,23/2/2002,23,2,2002,60,,south,
Caretta caretta,23/2/2002,23,2,2002,72,,south,
Caretta caretta,23/2/2002,23,2,2002,64,,south,
Caretta caretta,23/2/2002,23,2,2002,,virada,south,
Caretta caretta,23/2/2002,23,2,2002,53,,south,
Caretta caretta,23/2/2002,23,2,2002,,virada,south,
Caretta caretta,23/2/2002,23,2,2002,75,,south,
Caretta caretta,23/2/2002,23,2,2002,56,,south,
Chelonia mydas,23/2/2002,23,2,2002,59,,south,
Chelonia mydas,23/2/2002,23,2,2002,,,south,
Chelonia mydas,23/2/2002,23,2,2002,,,south,
Caretta caretta,26/2/2002,26,2,2002,92,,south,
Caretta caretta,26/2/2002,26,2,2002,71,carapaça cortada. provavelmente por h_lice de barco,south,
Chelonia mydas,15/3/2002,15,3,2002,38,,south,
Chelonia mydas,15/3/2002,15,3,2002,48,,south,
Chelonia mydas,15/3/2002,15,3,2002,35,tamanho estimado,south,
Chelonia mydas,15/3/2002,15,3,2002,,,south,
Chelonia mydas,15/3/2002,15,3,2002,45,,south,
Chelonia mydas,15/3/2002,15,3,2002,48,,south,
Caretta caretta,15/3/2002,15,3,2002,84,,south,
Caretta caretta,15/3/2002,15,3,2002,62,,south,
Chelonia mydas,15/3/2002,15,3,2002,38,,south,
Caretta caretta,15/3/2002,15,3,2002,80,,south,
Chelonia mydas,15/3/2002,15,3,2002,43,,south,
Chelonia mydas,15/3/2002,15,3,2002,,,south,
Chelonia mydas,15/3/2002,15,3,2002,32,,south,
Chelonia mydas,15/3/2002,15,3,2002,40,somente o casco,south,
Chelonia mydas,15/3/2002,15,3,2002,38,,south,
Chelonia mydas,15/3/2002,15,3,2002,38,,south,
Chelonia mydas,15/3/2002,15,3,2002,35,,south,
Chelonia mydas,15/3/2002,15,3,2002,38,,south,
Caretta caretta,15/3/2002,15,3,2002,68,,south,
Caretta caretta,15/3/2002,15,3,2002,62,,south,
Caretta caretta,26/3/2002,26,3,2002,75,,south,
Caretta caretta,26/3/2002,26,3,2002,70,,south,
Caretta caretta,14/5/2002,14,5,2002,95,,south,
Caretta caretta,17/5/2002,17,5,2002,102,sem cabeça,south,
Caretta caretta,17/5/2002,17,5,2002,93,,south,
